,kepid,kepoi_name,kepler_name,koi_kepmag,system,# TTV,# non TTV,size_sys,circumbinary_flag,# stars,eccentricity,eccentric?
53,6849310,K00864.02,Kepler-244 d,15.604,Kepler-244,0,3,3,0,1,"[None, None, None]",False
54,6849310,K00864.03,Kepler-244 c,15.604,Kepler-244,0,3,3,0,1,"[None, None, None]",False
61,7118364,K00873.01,Kepler-710 b,15.024,Kepler-710,0,1,1,0,1,[None],False
62,7134976,K00874.01,Kepler-246 b,15.024,Kepler-246,0,2,2,0,1,"[None, None]",False
63,7135852,K00875.01,Kepler-1729 b,15.692,Kepler-1729,0,1,1,0,1,[None],False
67,7678434,K00892.02,Kepler-716 c,15.193,Kepler-716,0,2,2,0,1,"[None, None]",False
68,7685981,K00893.01,Kepler-717 b,15.662,Kepler-717,0,1,1,0,1,[None],False
72,7458762,K00887.01,Kepler-713 b,15.031,Kepler-713,0,1,1,0,1,[None],False
74,7825899,K00896.02,Kepler-248 b,15.258,Kepler-248,0,2,2,0,1,"[None, None]",False
79,8490993,K00911.01,Kepler-722 b,15.399,Kepler-722,0,2,2,0,1,"[None, None]",False
80,8505670,K00912.01,Kepler-252 c,15.058,Kepler-252,0,2,2,0,1,"[None, None]",False
81,8505670,K00912.02,Kepler-252 b,15.058,Kepler-252,0,2,2,0,1,"[None, None]",False
84,8226994,K00906.01,Kepler-250 c,15.46,Kepler-250,0,3,3,0,1,"[None, None, None]",False
85,8226994,K00906.02,Kepler-250 d,15.46,Kepler-250,0,3,3,0,1,"[None, None, None]",False
86,8247638,K00907.01,Kepler-251 c,15.223,Kepler-251,0,4,4,0,1,"[None, None, None, None]",False
87,8247638,K00907.03,Kepler-251 b,15.223,Kepler-251,0,4,4,0,1,"[None, None, None, None]",False
88,8247638,K00907.04,Kepler-251 e,15.223,Kepler-251,0,4,4,0,1,"[None, None, None, None]",False
89,8414716,K00910.01,Kepler-721 b,15.651,Kepler-721,0,1,1,0,1,[None],False
90,8689031,K00920.01,Kepler-726 b,15.067,Kepler-726,0,1,1,0,1,[None],False
91,8689373,K00921.01,Kepler-253 c,15.532,Kepler-253,0,3,3,0,1,"[None, None, None]",False
92,8689373,K00921.02,Kepler-253 d,15.532,Kepler-253,0,3,3,0,1,"[None, None, None]",False
93,8689373,K00921.03,Kepler-253 b,15.532,Kepler-253,0,3,3,0,1,"[None, None, None]",False
94,8826878,K00922.01,Kepler-727 b,15.365,Kepler-727,0,1,1,0,1,[None],False
95,9466668,K00939.01,Kepler-256 c,15.065,Kepler-256,0,4,4,0,1,"[None, None, None, None]",False
96,9466668,K00939.02,Kepler-256 d,15.065,Kepler-256,0,4,4,0,1,"[None, None, None, None]",False
97,9466668,K00939.03,Kepler-256 b,15.065,Kepler-256,0,4,4,0,1,"[None, None, None, None]",False
98,9466668,K00939.04,Kepler-256 e,15.065,Kepler-256,0,4,4,0,1,"[None, None, None, None]",False
99,9406990,K00937.01,Kepler-733 b,15.412,Kepler-733,0,1,1,0,1,[None],False
101,3240158,K01106.01,Kepler-769 b,14.818,Kepler-769,0,2,2,0,1,"[None, None]",False
105,6131236,K01051.01,Kepler-1734 b,15.391,Kepler-1734,0,1,1,0,1,[None],False
106,5956342,K01052.01,Kepler-265 c,15.381,Kepler-265,0,4,4,0,1,"[None, None, None, None]",False
107,2854914,K01113.01,Kepler-268 b,13.703,Kepler-268,0,2,2,0,1,"[None, None]",False
108,2854698,K00986.01,Kepler-260 b,14.138,Kepler-260,0,2,2,0,1,"[None, None]",False
110,2849805,K01116.01,Kepler-773 b,13.333,Kepler-773,0,1,1,0,1,[None],False
113,2302548,K00988.01,Kepler-261 b,13.562,Kepler-261,0,2,2,0,1,"[None, None]",False
114,2302548,K00988.02,Kepler-261 c,13.562,Kepler-261,0,2,2,0,1,"[None, None]",False
115,6060203,K01059.01,Kepler-757 b,14.803,Kepler-757,0,1,1,0,1,[None],False
116,5880320,K01060.01,Kepler-758 b,14.348,Kepler-758,0,4,4,0,1,"[None, None, None, None]",False
117,5880320,K01060.03,Kepler-758 d,14.348,Kepler-758,0,4,4,0,1,"[None, None, None, None]",False
118,3859079,K01199.01,Kepler-786 b,14.887,Kepler-786,0,1,1,0,1,[None],False
119,4061149,K01201.01,Kepler-1741 b,15.597,Kepler-1741,0,1,1,0,1,[None],False
120,1718189,K00993.01,Kepler-262 c,14.246,Kepler-262,0,2,2,0,1,"[None, None]",False
121,6037187,K01061.01,Kepler-759 b,14.502,Kepler-759,0,1,1,0,1,[None],False
123,6359320,K01127.01,Kepler-269 b,15.808,Kepler-269,0,2,2,0,1,"[None, None]",False
124,1718189,K00993.02,Kepler-262 b,14.246,Kepler-262,0,2,2,0,1,"[None, None]",False
125,8222813,K01069.01,Kepler-760 b,15.07,Kepler-760,0,2,2,0,1,"[None, None]",False
126,6359320,K01127.02,Kepler-269 c,15.808,Kepler-269,0,2,2,0,1,"[None, None]",False
127,6362874,K01128.01,Kepler-775 b,13.507,Kepler-775,0,1,1,0,1,[None],False
128,6272413,K01129.01,Kepler-776 b,15.456,Kepler-776,0,1,1,0,1,[None],False
129,2165002,K00999.01,Kepler-263 b,15.391,Kepler-263,0,2,2,0,1,"[None, None]",False
130,2165002,K00999.02,Kepler-263 c,15.391,Kepler-263,0,2,2,0,1,"[None, None]",False
131,8222813,K01069.02,Kepler-760 c,15.07,Kepler-760,0,2,2,0,1,"[None, None]",False
132,8240904,K01070.01,Kepler-266 b,15.59,Kepler-266,0,2,2,0,1,"[None, None]",False
134,3438507,K01204.01,Kepler-788 b,15.291,Kepler-788,0,1,1,0,1,[None],False
135,8346392,K01141.01,Kepler-777 b,15.95,Kepler-777,0,1,1,0,1,[None],False
136,8288947,K01142.01,Kepler-778 b,15.764,Kepler-778,0,1,1,0,1,[None],False
137,9480189,K00941.02,Kepler-257 b,15.471,Kepler-257,0,3,3,0,1,"[None, None, None]",False
138,9512687,K00942.01,Kepler-735 b,15.386,Kepler-735,0,1,1,0,1,[None],False
139,1725016,K01007.01,Kepler-748 b,15.242,Kepler-748,0,1,1,0,1,[None],False
142,9513865,K00943.01,Kepler-736 b,15.733,Kepler-736,0,1,1,0,1,[None],False
143,9605514,K00945.01,Kepler-1666 b,15.083,Kepler-1666,0,2,2,0,1,"[None, None]",False
144,10141900,K01082.01,Kepler-763 d,15.692,Kepler-763,0,3,3,0,1,"[None, 0.0, 0.0]",False
145,8410727,K01148.01,Kepler-270 b,13.908,Kepler-270,0,2,2,0,1,"[None, None]",False
146,8278371,K01150.01,Kepler-780 b,13.326,Kepler-780,0,1,1,0,1,[None],False
147,8280511,K01151.01,Kepler-271 b,13.404,Kepler-271,0,3,3,0,1,"[None, None, None]",False
148,9710326,K00947.01,Kepler-737 b,15.19,Kepler-737,0,1,1,0,1,[None],False
149,9761882,K00948.01,Kepler-738 b,15.598,Kepler-738,0,1,1,0,1,[None],False
150,10157458,K01083.01,Kepler-764 b,15.302,Kepler-764,0,1,1,0,1,[None],False
155,2716853,K01022.01,Kepler-752 b,15.762,Kepler-752,0,1,1,0,1,[None],False
156,2715135,K01024.01,Kepler-753 b,14.496,Kepler-753,0,1,1,0,1,[None],False
158,10330115,K01160.01,Kepler-781 b,15.987,Kepler-781,0,1,1,0,1,[None],False
159,10426656,K01161.01,Kepler-272 c,14.678,Kepler-272,0,3,3,0,1,"[None, None, None]",False
161,10468940,K01163.01,Kepler-273 b,14.968,Kepler-273,0,2,2,0,1,"[None, None]",False
162,9825625,K00955.01,Kepler-741 b,15.067,Kepler-741,0,1,1,0,1,[None],False
163,1026957,K00958.01,Kepler-1731 b,12.559,Kepler-1731,0,1,1,0,1,[None],False
164,3245969,K01101.01,Kepler-768 b,15.681,Kepler-768,0,1,1,0,1,[None],False
165,10468940,K01163.02,Kepler-273 c,14.968,Kepler-273,0,2,2,0,1,"[None, None]",False
166,10337517,K01165.01,Kepler-783 c,13.916,Kepler-783,0,2,2,0,1,"[None, None]",False
167,10337517,K01165.02,Kepler-783 b,13.916,Kepler-783,0,2,2,0,1,"[None, None]",False
170,7102227,K01360.01,Kepler-290 c,15.596,Kepler-290,0,3,3,0,1,"[None, None, 0.0]",False
171,7102227,K01360.02,Kepler-290 b,15.596,Kepler-290,0,3,3,0,1,"[0.0, None, None]",False
172,11401182,K01428.01,Kepler-845 b,14.631,Kepler-845,0,1,1,0,1,[None],False
173,6690082,K01240.01,Kepler-280 b,14.466,Kepler-280,0,2,2,0,1,"[None, None]",False
174,6690082,K01240.02,Kepler-280 c,14.466,Kepler-280,0,2,2,0,1,"[None, None]",False
175,10730034,K01305.01,Kepler-285 b,15.173,Kepler-285,0,2,2,0,1,"[None, None]",False
176,10858691,K01306.01,Kepler-286 b,15.587,Kepler-286,0,4,4,0,1,"[None, None, None, None]",False
177,6936909,K01363.01,Kepler-291 b,15.934,Kepler-291,0,2,2,0,1,"[None, None]",False
178,6962977,K01364.01,Kepler-292 f,15.956,Kepler-292,0,5,5,0,1,"[None, None, None, None, None]",False
179,6962977,K01364.02,Kepler-292 d,15.956,Kepler-292,0,5,5,0,1,"[None, None, None, None, None]",False
180,11176127,K01430.01,Kepler-298 b,15.415,Kepler-298,0,3,3,0,1,"[None, None, None]",False
181,11176127,K01430.02,Kepler-298 c,15.415,Kepler-298,0,3,3,0,1,"[None, None, None]",False
183,6693640,K01245.01,Kepler-798 b,14.2,Kepler-798,0,1,1,0,1,[None],False
184,10973814,K01307.02,Kepler-287 b,14.775,Kepler-287,0,2,2,0,1,"[None, None]",False
185,6962977,K01364.03,Kepler-292 e,15.956,Kepler-292,0,5,5,0,1,"[None, None, None, None, None]",False
186,6962977,K01364.05,Kepler-292 b,15.956,Kepler-292,0,5,5,0,1,"[None, None, None, None, None]",False
187,11288505,K01433.01,Kepler-846 b,15.65,Kepler-846,0,1,1,0,1,[None],False
188,10963242,K01312.01,Kepler-814 b,14.706,Kepler-814,0,1,1,0,1,[None],False
190,6934291,K01367.01,Kepler-828 b,15.055,Kepler-828,0,1,1,0,1,[None],False
193,11389771,K01436.01,Kepler-301 b,14.271,Kepler-301,0,3,3,0,1,"[None, None, None]",False
194,11389771,K01436.02,Kepler-301 d,14.271,Kepler-301,0,3,3,0,1,"[None, None, None]",False
196,7287415,K01369.01,Kepler-1745 b,14.878,Kepler-1745,0,1,1,0,1,[None],False
197,11599038,K01437.01,Kepler-1751 b,15.28,Kepler-1751,0,1,1,0,1,[None],False
198,11193263,K01438.01,Kepler-848 b,14.056,Kepler-848,0,1,1,0,1,[None],False
199,8630788,K01258.02,Kepler-281 b,15.773,Kepler-281,0,3,3,0,1,"[None, None, None]",False
200,7211221,K01379.01,Kepler-831 b,13.687,Kepler-831,0,1,1,0,1,[None],False
201,11600889,K01442.01,Kepler-407 b,12.521,Kepler-407,0,2,2,0,1,"[None, None]",False
202,8547140,K01266.01,Kepler-801 b,15.314,Kepler-801,0,1,1,0,1,[None],False
203,9527915,K00165.01,Kepler-478 b,13.938,Kepler-478,0,1,1,0,1,[None],False
207,8972058,K00159.01,Kepler-115 c,13.431,Kepler-115,0,13,13,0,1,"[None, None, None, None, None, None, None, None, None, None, None, None, None]",False
208,8804283,K01276.01,Kepler-1991 c,14.766,Kepler-1991,0,2,2,0,1,"[0.0, 0.0]",False
209,8804283,K01276.02,Kepler-1991 b,14.766,Kepler-1991,0,2,2,0,1,"[0.0, 0.0]",False
214,2441495,K00166.01,Kepler-479 b,13.575,Kepler-479,0,1,1,0,1,[None],False
215,9455556,K01396.01,Kepler-294 c,15.843,Kepler-294,0,2,2,0,1,"[None, None]",False
216,3732821,K01207.01,Kepler-790 b,15.187,Kepler-790,0,1,1,0,1,[None],False
220,4243911,K01337.01,Kepler-821 b,14.829,Kepler-821,0,1,1,0,1,[None],False
221,4466677,K01338.01,Kepler-822 b,14.609,Kepler-822,0,1,1,0,1,[None],False
222,4135665,K01339.01,Kepler-823 b,14.801,Kepler-823,0,1,1,0,1,[None],False
223,9034103,K01402.01,Kepler-832 b,15.906,Kepler-832,0,1,1,0,1,[None],False
224,9214942,K01403.01,Kepler-833 b,15.473,Kepler-833,0,1,1,0,1,[None],False
225,3660924,K01214.01,Kepler-793 b,14.621,Kepler-793,0,1,1,0,1,[None],False
226,8628758,K01279.01,Kepler-804 b,13.749,Kepler-804,0,2,2,0,1,"[None, None]",False
228,4650674,K01341.01,Kepler-824 b,14.946,Kepler-824,0,1,1,0,1,[None],False
229,4275721,K01342.02,Kepler-825 c,14.207,Kepler-825,0,2,2,0,1,"[None, None]",False
230,11666881,K00167.01,Kepler-480 b,13.273,Kepler-480,0,1,1,0,1,[None],False
231,9271752,K01406.01,Kepler-836 b,14.63,Kepler-836,0,1,1,0,1,[None],False
232,9150827,K01408.01,Kepler-1749 b,14.688,Kepler-1749,0,1,1,0,1,[None],False
233,3839488,K01216.01,Kepler-794 b,13.459,Kepler-794,0,1,1,0,1,[None],False
234,12252424,K00153.01,Kepler-113 c,13.461,Kepler-113,0,14,14,0,1,"[None, None, None, None, None, None, None, None, None, None, None, None, None, None]",False
235,9391208,K01409.01,Kepler-837 b,15.198,Kepler-837,0,1,1,0,1,[None],False
236,9391506,K01410.01,Kepler-838 b,15.3,Kepler-838,0,1,1,0,1,[None],False
239,7376983,K01358.01,Kepler-1987 d,15.505,Kepler-1987,0,4,4,0,1,"[0.0, 0.0, 0.0, 0.0]",False
240,5084942,K00161.01,Kepler-475 b,13.341,Kepler-475,0,1,1,0,1,[None],False
245,10975146,K01300.01,Kepler-808 b,14.285,Kepler-808,0,1,1,0,1,[None],False
246,10538176,K01301.01,Kepler-284 b,15.824,Kepler-284,0,2,2,0,1,"[None, None]",False
247,7376983,K01358.03,Kepler-1987 c,15.505,Kepler-1987,0,4,4,0,1,"[0.0, 0.0, 0.0, 0.0]",False
248,11611600,K01424.01,Kepler-842 b,15.127,Kepler-842,0,1,1,0,1,[None],False
249,11254382,K01425.01,Kepler-843 b,15.269,Kepler-843,0,1,1,0,1,[None],False
252,10538176,K01301.02,Kepler-284 c,15.824,Kepler-284,0,2,2,0,1,"[None, None]",False
253,5177104,K01603.01,Kepler-904 b,14.429,Kepler-904,0,1,1,0,1,[None],False
254,8230616,K01713.02,Kepler-316 b,15.224,Kepler-316,0,2,2,0,1,"[None, None]",False
255,9838949,K01716.01,Kepler-935 b,14.925,Kepler-935,0,1,1,0,1,[None],False
256,9589323,K01488.01,Kepler-861 b,15.623,Kepler-861,0,1,1,0,1,[None],False
257,9823487,K01489.01,Kepler-1753 b,15.554,Kepler-1753,0,1,1,0,1,[None],False
258,9726659,K01491.01,Kepler-862 b,15.297,Kepler-862,0,1,1,0,1,[None],False
259,5371776,K01557.01,Kepler-304 b,14.84,Kepler-304,0,4,4,0,1,"[None, None, None, None]",False
260,5371776,K01557.02,Kepler-304 d,14.84,Kepler-304,0,4,4,0,1,"[None, None, None, None]",False
261,5371776,K01557.03,Kepler-304 c,14.84,Kepler-304,0,4,4,0,1,"[None, None, None, None]",False
262,9573539,K00180.01,Kepler-484 b,13.024,Kepler-484,0,1,1,0,1,[None],False
263,5371776,K01557.04,Kepler-304 e,14.84,Kepler-304,0,4,4,0,1,"[None, None, None, None]",False
264,9886661,K01606.01,Kepler-905 b,13.984,Kepler-905,0,1,1,0,1,[None],False
265,10055126,K01608.01,Kepler-311 b,13.797,Kepler-311,0,3,3,0,1,"[None, None, 0.0]",False
266,10963065,K01612.01,Kepler-408 b,8.769,Kepler-408,0,1,1,0,1,[None],False
267,6268648,K01613.01,Kepler-907 b,11.049,Kepler-907,0,1,1,0,1,[None],False
270,7841925,K01499.01,Kepler-865 b,14.48,Kepler-865,0,2,2,0,1,"[None, 0.0]",False
273,5561278,K01621.01,Kepler-911 b,11.855,Kepler-911,0,1,1,0,1,[None],False
274,6387542,K01626.01,Kepler-912 b,15.341,Kepler-912,0,1,1,0,1,[None],False
275,6869184,K01732.01,Kepler-944 b,15.737,Kepler-944,0,1,1,0,1,[None],False
276,6604328,K01736.01,Kepler-945 b,15.898,Kepler-945,0,1,1,0,1,[None],False
277,7439316,K01501.01,Kepler-866 b,15.835,Kepler-866,0,1,1,0,1,[None],False
278,5438099,K01567.01,Kepler-306 c,15.565,Kepler-306,0,4,4,0,1,"[None, None, None, None]",False
279,5438099,K01567.02,Kepler-306 b,15.565,Kepler-306,0,4,4,0,1,"[None, None, None, None]",False
281,6786348,K01749.01,Kepler-947 b,15.789,Kepler-947,0,1,1,0,1,[None],False
282,9813499,K01505.01,Kepler-868 b,15.695,Kepler-868,0,1,1,0,1,[None],False
283,12254792,K01506.01,Kepler-869 b,14.982,Kepler-869,0,1,1,0,1,[None],False
284,12020218,K01507.01,Kepler-870 b,15.259,Kepler-870,0,1,1,0,1,[None],False
285,5438099,K01567.03,Kepler-306 d,15.565,Kepler-306,0,4,4,0,1,"[None, None, None, None]",False
286,8009350,K01569.01,Kepler-892 b,15.587,Kepler-892,0,1,1,0,1,[None],False
287,9277896,K01632.01,Kepler-915 b,13.298,Kepler-915,0,1,1,0,1,[None],False
288,10686864,K01637.01,Kepler-917 b,15.759,Kepler-917,0,1,1,0,1,[None],False
289,7901948,K01511.01,Kepler-872 b,15.106,Kepler-872,0,1,1,0,1,[None],False
290,10004519,K01572.01,Kepler-894 b,15.439,Kepler-894,0,1,1,0,1,[None],False
291,11046025,K01646.01,Kepler-1759 b,14.293,Kepler-1759,0,1,1,0,1,[None],False
292,9729691,K01751.01,Kepler-949 b,14.548,Kepler-949,0,2,2,0,1,"[None, 0.0]",False
293,7549209,K01518.01,Kepler-875 b,15.219,Kepler-875,0,1,1,0,1,[None],False
294,7663405,K01519.01,Kepler-876 b,15.369,Kepler-876,0,1,1,0,1,[None],False
295,9765975,K01520.01,Kepler-877 b,14.516,Kepler-877,0,1,1,0,1,[None],False
296,9818462,K01521.01,Kepler-878 b,14.817,Kepler-878,0,1,1,0,1,[None],False
297,6803202,K00177.01,Kepler-1711 b,13.182,Kepler-1711,0,1,1,0,1,[None],False
299,12506770,K01577.01,Kepler-895 b,15.988,Kepler-895,0,1,1,0,1,[None],False
300,11547505,K01655.01,Kepler-922 b,13.757,Kepler-922,0,1,1,0,1,[None],False
302,9824805,K01526.01,Kepler-881 b,15.216,Kepler-881,0,1,1,0,1,[None],False
303,12602568,K01583.01,Kepler-897 b,15.068,Kepler-897,0,1,1,0,1,[None],False
304,4650733,K01659.01,Kepler-1762 b,15.111,Kepler-1762,0,1,1,0,1,[None],False
305,7831264,K00171.02,Kepler-116 c,13.717,Kepler-116,0,14,14,0,1,"[None, None, None, None, None, None, None, None, None, None, None, None, None, 0.0]",False
306,7691260,K01528.01,Kepler-882 b,14.083,Kepler-882,0,1,1,0,1,[None],False
309,11954842,K01530.01,Kepler-883 b,13.029,Kepler-883,0,1,1,0,1,[None],False
310,5470739,K01585.01,Kepler-899 b,15.401,Kepler-899,0,1,1,0,1,[None],False
311,10022908,K01586.01,Kepler-900 b,14.94,Kepler-900,0,1,1,0,1,[None],False
312,5617854,K01588.01,Kepler-901 b,14.699,Kepler-901,0,1,1,0,1,[None],False
313,11764462,K01531.01,Kepler-884 b,13.069,Kepler-884,0,1,1,0,1,[None],False
314,7808587,K01533.01,Kepler-886 b,13.939,Kepler-886,0,1,1,0,1,[None],False
315,4741126,K01534.01,Kepler-887 b,13.47,Kepler-887,0,2,2,0,1,"[None, None]",False
318,12159249,K01536.01,Kepler-889 b,12.71,Kepler-889,0,1,1,0,1,[None],False
319,10028140,K01591.01,Kepler-1757 b,15.372,Kepler-1757,0,1,1,0,1,[None],False
320,6198999,K01687.01,Kepler-928 b,15.32,Kepler-928,0,1,1,0,1,[None],False
321,6310636,K01688.01,Kepler-929 b,14.542,Kepler-929,0,1,1,0,1,[None],False
322,6616218,K01692.01,Kepler-314 c,12.557,Kepler-314,0,2,2,0,1,"[None, None]",False
323,4770365,K01475.01,Kepler-1669 c,15.937,Kepler-1669,0,3,3,0,1,"[None, None, 0.0]",False
324,5289854,K01593.02,Kepler-308 c,15.809,Kepler-308,0,2,2,0,1,"[None, None]",False
325,7220429,K01700.01,Kepler-931 b,14.471,Kepler-931,0,1,1,0,1,[None],False
328,7522911,K01705.01,Kepler-1670 b,15.442,Kepler-1670,0,1,1,0,1,[None],False
329,7626370,K01706.01,Kepler-932 b,14.131,Kepler-932,0,1,1,0,1,[None],False
330,9597806,K01481.01,Kepler-860 b,15.455,Kepler-860,0,1,1,0,1,[None],False
332,8230616,K01713.01,Kepler-316 c,15.224,Kepler-316,0,2,2,0,1,"[None, None]",False
333,11402995,K00173.01,Kepler-481 b,13.844,Kepler-481,0,1,1,0,1,[None],False
334,7747425,K01952.04,Kepler-341 e,14.601,Kepler-341,0,4,4,0,1,"[None, None, None, None]",False
335,4813563,K01959.01,Kepler-1026 b,14.254,Kepler-1026,0,1,1,0,1,[None],False
337,9790806,K02035.01,Kepler-1066 b,13.007,Kepler-1066,0,1,1,0,1,[None],False
338,5375194,K01825.01,Kepler-964 b,13.895,Kepler-964,0,1,1,0,1,[None],False
339,7449136,K01890.01,Kepler-1002 b,11.704,Kepler-1002,0,1,1,0,1,[None],False
340,8680979,K01891.01,Kepler-330 c,15.261,Kepler-330,0,2,2,0,1,"[None, None]",False
341,6949061,K01960.01,Kepler-343 b,14.128,Kepler-343,0,2,2,0,1,"[None, None]",False
343,11657891,K01965.01,Kepler-1028 b,14.325,Kepler-1028,0,1,1,0,1,[None],False
346,3326377,K01830.01,Kepler-967 b,14.443,Kepler-967,0,2,2,0,1,"[None, None]",False
348,8689793,K01893.01,Kepler-1003 b,14.053,Kepler-1003,0,1,1,0,1,[None],False
349,4263293,K01895.01,Kepler-331 b,15.862,Kepler-331,0,3,3,0,1,"[None, None, None]",False
350,4263293,K01895.02,Kepler-331 c,15.862,Kepler-331,0,3,3,0,1,"[None, None, None]",False
351,6205897,K01967.01,Kepler-1029 b,14.31,Kepler-1029,0,1,1,0,1,[None],False
352,9650808,K01970.01,Kepler-344 b,15.378,Kepler-344,0,2,2,0,1,"[None, None]",False
354,11853878,K01833.01,Kepler-968 b,14.265,Kepler-968,0,2,2,0,1,"[None, None]",False
355,7668663,K01898.01,Kepler-1005 b,13.25,Kepler-1005,0,1,1,0,1,[None],False
356,9353314,K01900.01,Kepler-1007 b,14.744,Kepler-1007,0,1,1,0,1,[None],False
357,9347009,K01971.01,Kepler-1030 b,15.719,Kepler-1030,0,1,1,0,1,[None],False
358,4917596,K01973.01,Kepler-1032 b,15.753,Kepler-1032,0,1,1,0,1,[None],False
359,6026438,K02045.01,Kepler-354 b,15.549,Kepler-354,0,3,3,0,1,"[None, None, None]",False
360,9471268,K01835.01,Kepler-326 c,13.693,Kepler-326,0,3,3,0,1,"[None, None, None]",False
361,9471268,K01835.02,Kepler-326 b,13.693,Kepler-326,0,3,3,0,1,"[None, None, None]",False
362,9471268,K01835.03,Kepler-326 d,13.693,Kepler-326,0,3,3,0,1,"[None, None, None]",False
363,10657406,K01837.01,Kepler-969 b,13.733,Kepler-969,0,2,2,0,1,"[None, None]",False
365,10328393,K01905.01,Kepler-332 b,14.017,Kepler-332,0,3,3,0,1,"[None, None, None]",False
366,7094486,K01907.01,Kepler-1009 b,15.278,Kepler-1009,0,1,1,0,1,[None],False
367,2693736,K01976.01,Kepler-1034 b,15.09,Kepler-1034,0,1,1,0,1,[None],False
368,9412760,K01977.01,Kepler-345 c,14.028,Kepler-345,0,2,2,0,1,"[None, None]",False
369,9412760,K01977.02,Kepler-345 b,14.028,Kepler-345,0,2,2,0,1,"[None, None]",False
370,11457726,K02047.01,Kepler-1070 b,13.977,Kepler-1070,0,1,1,0,1,[None],False
371,8956206,K02048.01,Kepler-1071 b,15.801,Kepler-1071,0,1,1,0,1,[None],False
372,9649706,K02049.01,Kepler-1072 b,13.93,Kepler-1072,0,1,1,0,1,[None],False
375,10130039,K01909.02,Kepler-334 b,12.776,Kepler-334,0,3,3,0,1,"[None, None, None]",False
